Agent 1,Agent 2,Agent 3,Agent 4,Agent 5
500.0,12.0,500.0,180.0,246.0
500.0,39.0,500.0,221.0,105.0
500.0,18.0,500.0,169.0,158.0
500.0,11.0,500.0,465.0,138.0
500.0,22.0,462.0,340.0,200.0
500.0,14.0,221.0,161.0,129.0
500.0,42.0,302.0,231.0,111.0
500.0,14.0,76.0,220.0,212.0
500.0,16.0,231.0,228.0,132.0
500.0,12.0,205.0,189.0,72.0
500.0,14.0,473.0,201.0,66.0
500.0,43.0,162.0,165.0,129.0
500.0,32.0,149.0,143.0,160.0
500.0,23.0,54.0,147.0,168.0
500.0,18.0,76.0,168.0,124.0
500.0,16.0,154.0,500.0,91.0
500.0,18.0,71.0,122.0,104.0
500.0,62.0,333.0,356.0,168.0
500.0,14.0,69.0,500.0,35.0
332.0,14.0,85.0,188.0,173.0
500.0,41.0,500.0,154.0,137.0
500.0,11.0,32.0,130.0,152.0
500.0,10.0,107.0,168.0,150.0
500.0,47.0,32.0,267.0,55.0
500.0,47.0,98.0,123.0,161.0
500.0,25.0,97.0,407.0,78.0
500.0,14.0,108.0,40.0,190.0
500.0,22.0,40.0,33.0,239.0
500.0,23.0,204.0,182.0,104.0
500.0,46.0,423.0,333.0,233.0
500.0,54.0,38.0,114.0,66.0
291.0,29.0,203.0,53.0,121.0
473.0,25.0,124.0,144.0,156.0
372.0,26.0,394.0,107.0,97.0
406.0,12.0,500.0,249.0,131.0
399.0,34.0,197.0,284.0,117.0
401.0,13.0,500.0,385.0,184.0
500.0,12.0,279.0,316.0,214.0
477.0,23.0,500.0,500.0,31.0
326.0,21.0,500.0,105.0,146.0
500.0,18.0,500.0,442.0,90.0
494.0,15.0,160.0,215.0,110.0
500.0,15.0,487.0,194.0,222.0
500.0,30.0,301.0,364.0,129.0
500.0,11.0,180.0,255.0,226.0
500.0,18.0,160.0,389.0,106.0
500.0,18.0,215.0,140.0,66.0
500.0,25.0,143.0,216.0,279.0
500.0,13.0,173.0,150.0,279.0
500.0,34.0,283.0,138.0,215.0
500.0,19.0,217.0,137.0,67.0
500.0,34.0,178.0,201.0,110.0
500.0,18.0,168.0,237.0,120.0
500.0,15.0,192.0,383.0,49.0
500.0,93.0,186.0,134.0,86.0
330.0,38.0,218.0,115.0,27.0
500.0,20.0,175.0,178.0,150.0
422.0,26.0,271.0,170.0,128.0
500.0,15.0,286.0,500.0,220.0
264.0,9.0,195.0,196.0,146.0
500.0,18.0,260.0,58.0,326.0
500.0,28.0,202.0,209.0,30.0
500.0,25.0,436.0,500.0,132.0
500.0,16.0,250.0,107.0,167.0
500.0,15.0,216.0,261.0,166.0
500.0,15.0,180.0,177.0,130.0
500.0,16.0,250.0,275.0,262.0
500.0,30.0,101.0,187.0,150.0
500.0,29.0,227.0,132.0,134.0
500.0,31.0,229.0,91.0,245.0
500.0,15.0,275.0,147.0,70.0
500.0,22.0,230.0,108.0,233.0
500.0,29.0,189.0,154.0,170.0
500.0,12.0,187.0,500.0,338.0
500.0,21.0,278.0,265.0,82.0
500.0,17.0,184.0,207.0,379.0
500.0,28.0,328.0,109.0,203.0
500.0,22.0,210.0,500.0,229.0
500.0,34.0,211.0,500.0,197.0
497.0,21.0,190.0,162.0,267.0
